comune,km,nome,piva,settore,ateco,attivita,fatturato,anno,personale,dipendenti,indirizzo,prova
Bovisio-masciago,3.8,NEW PROJECT SRL,11413180966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,288134,2021,210041,da 3 a 5,"Via Ponchielli, 15","PG «new project» in bovisio-masciago: 6 risultati, nessuno con nome e comune coincidenti"
Seregno,5.3,N.B. LOGISTICA S.R.L.,10086410965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1336264,2024,747289,da 20 a 49,"Via Claudio Monteverdi, 8","PG «nb logistica» in seregno: 25 risultati, nessuno con nome e comune coincidenti"
Solaro,5.6,AMICI SRLS,12548640965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1379248,2024,808287,da 20 a 49,"Via San Giovanni Bosco, 28","PG «amici» in solaro: 17 risultati, nessuno con nome e comune coincidenti"
Saronno,8.2,FONSECA CORPORATION SOCIETA' COOPERATIVA,03288580123,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,503966,,,,"Via Monte Sabotino, 17","PG «fonseca corporation» in saronno: 0 risultati, nessuno con nome e comune coincidenti"
Saronno,8.2,GG SUPPORTO LOGISTICO SRLS,03595200126,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,484106,2019,196160,1,"Via Giuditta Pasta, 23","PG «gg supporto logistico» in saronno: 0 risultati, nessuno con nome e comune coincidenti"
Paderno Dugnano,8.3,HIGH SPEED SOCIETA' COOPERATIVA IN BREVE HS SOC. COOP.,10785300962,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1390257,,,,"Via Iv Novembre, 7/A","PG «high speed hs» in paderno dugnano: 0 risultati, nessuno con nome e comune coincidenti"
Paderno Dugnano,8.3,STARK COSTRUZIONI EDILI S.R.L.,09112070967,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,578038,2021,393204,nessuno,"Via San Martino, 29","PG «stark costruzioni edili» in paderno dugnano: 1 risultati, nessuno con nome e comune coincidenti"
Lissone,8.8,MARIANI TRASPORTI S.R.L.S. SOCIETA' A RESPONSABILITA' LIMITATA SE MPLIFICATA,10350880968,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,410578,2024,86244,da 3 a 5,"Via Caprera, 5","PG «mariani trasporti se mplificata» in lissone: 25 risultati, nessuno con nome e comune coincidenti"
Cinisello Balsamo,11.6,CO.DI S. COOPERATIVA A R.L.,03290530967,Facchinaggio,52.24,Movimentazione merci,2661953,,,,"Via Garibaldi, 13","PG «co» in cinisello balsamo: 25 risultati, nessuno con nome e comune coincidenti"
Lainate,11.8,MOVITEK SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,10633740963,Facchinaggio,52.24,Movimentazione merci,363734,2024,112158,da 3 a 5,"Via Rubicone, 16","PG «movitek» in lainate: 0 risultati, nessuno con nome e comune coincidenti"
Novate Milanese,12.4,JET SERVICE SOCIETA' COOPERATIVA,08108680961,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1526969,,,,"Via Vialba, 52","PG «jet service» in novate milanese: 7 risultati, nessuno con nome e comune coincidenti"
Monza,12.5,MD SERVIZI SRL,11292280960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,3588669,2024,2017143,da 50 a 99,"Via Francesco Frisi, 20","PG «md servizi» in monza: 4 risultati, nessuno con nome e comune coincidenti"
Bresso,12.5,H.L.S. HANDLING LOGISTICA SERVIZI SOCIETA' COOPERATIVA IN LIQUIDA ZIONE,09492070967,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1506720,,,,"Via Ambrogio Strada, 5","PG «hls handling logistica servizi liquida zione» in bresso: 25 risultati, nessuno con nome e comune coincidenti"
Monza,12.5,C & G OMNIALOGISTICA SOCIETA' COOPERATIVA,05591640965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1024080,,,,"Via Sorteni, 5","PG «ceg omnialogistica» in monza: 0 risultati, nessuno con nome e comune coincidenti"
Monza,12.5,MB-LOGISTIC S.R.L.,11899020967,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,720000,2024,455453,da 6 a 9,"Via Passerini, 2","PG «mb logistic» in monza: 3 risultati, nessuno con nome e comune coincidenti"
Sesto San Giovanni,14.4,ISAF SERVIZI S.R.L.S.,10428200967,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1493944,2019,1450318,1,"Via Monte Grappa, 167","PG «isaf servizi» in sesto san giovanni: 9 risultati, nessuno con nome e comune coincidenti"
Pero,15.3,02 LOGISTICS SRLS,11626660960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1183438,2024,169842,da 6 a 9,"Via Piave, 24/26","PG «02 logistics» in pero: 1 risultati, nessuno con nome e comune coincidenti"
Pero,15.3,AUTOMOTIVE HUB S.R.L,13156470968,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1171622,2024,135605,da 3 a 5,"Via Piave, 33","PG «automotive hub» in pero: 25 risultati, nessuno con nome e comune coincidenti"
Pero,15.3,TRASPOWAY - SOCIETA' COOPERATIVA,08965350963,Facchinaggio,52.24,Movimentazione merci,352431,,,,"Via Newton, 12","PG «traspoway» in pero: 0 risultati, nessuno con nome e comune coincidenti"
Concorezzo,16.6,ALMATADEMA SRL,11311560962,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,814317,2023,262732,da 6 a 9,"Via Roma, 50","PG «almatadema» in concorezzo: 0 risultati, nessuno con nome e comune coincidenti"
Cologno Monzese,16.8,MANILA MULTISERVIZI SOCIETA' COOPERATIVA S.R.L.,07114730968,Facchinaggio,52.24,Movimentazione merci,655695,,,,"Via Montegrappa, 32","PG «manila multiservizi» in cologno monzese: 0 risultati, nessuno con nome e comune coincidenti"
Parabiago,17.5,SMART LOG S.R.L.,15400691000,Facchinaggio,52.24,Movimentazione merci,3980100,2024,3224568,da 50 a 99,"Via Matteotti, 59","PG «smart log» in parabiago: 24 risultati, nessuno con nome e comune coincidenti"
Parabiago,17.5,PAK WORK SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA IN LIQU IDAZIONE,08628380969,Facchinaggio,52.24,Movimentazione merci,405322,2017,360839,da 20 a 49,"Via Brisa, 34","PG «pak work liqu idazione» in parabiago: 0 risultati, nessuno con nome e comune coincidenti"
Carugate,19.1,MULTISERVIZI BRIANZA SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFI CATA,12111340969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1149895,2024,758887,da 50 a 99,"Via Cesare Battisti, 133","PG «multiservizi brianza semplifi cata» in carugate: 0 risultati, nessuno con nome e comune coincidenti"
Como,19.2,AZZURRA - SOCIETA' COOPERATIVA,02960210132,Facchinaggio,52.24,Movimentazione merci,3309894,,,,"Via Martino Anzi, 8","PG «azzurra» in como: 25 risultati, nessuno con nome e comune coincidenti"
Como,19.2,BSL GROUP SERVICE SRL,03675850139,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,2011975,2020,641118,nessuno,"Via Parini, 10","PG «bsl group service» in como: 0 risultati, nessuno con nome e comune coincidenti"
Como,19.2,TEN SERVICE S.R.L.,04081350136,Facchinaggio,52.24,Movimentazione merci,1513978,2023,1174010,da 100 a 199,"Via Canturina, 49","PG «ten service» in como: 0 risultati, nessuno con nome e comune coincidenti"
Cernusco Sul Naviglio,20.0,DYNAMIC LOG SOCIETA' COOPERATIVA,08885780968,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,3111823,,,,"Via Verdi, 40","PG «dynamic log» in cernusco sul naviglio: 20 risultati, nessuno con nome e comune coincidenti"
Cernusco Sul Naviglio,20.0,NEW RAPID SOCIETA' COOPERATIVA,09629060964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,790182,,,,"Via Torino, 34/B","PG «new rapid» in cernusco sul naviglio: 0 risultati, nessuno con nome e comune coincidenti"
Cernusco Sul Naviglio,20.0,AMAX SERVICE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,13132760961,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,726590,2024,646282,da 20 a 49,"Via Giuseppe Mazzini, 3/A","PG «amax service» in cernusco sul naviglio: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,GESTILOG SOCIETA' COOPERATIVA,07767520963,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,9884659,,,,"Via Giuseppe Prina, 15","PG «gestilog» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,PAD LOG S.R.L.,08877890965,Facchinaggio,52.24,Movimentazione merci,9524189,2024,7878357,da 50 a 99,"Corso Magenta, 56","PG «pad log» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,TEAMWORK SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,11226560966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,9262585,,,,"Via Donizetti, 38","PG «teamwork» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,SOLUZIONI VINCENTI PER AZIENDE SOCIETA' COOPERATIVA,09604510967,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,9159462,,,,"Via Barigozzi, 2","PG «soluzioni vincenti aziende» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,BBLOG SRL,03993610132,Facchinaggio,52.24,Movimentazione merci,8876518,2024,6264179,da 100 a 199,"Corso Venezia, 43","PG «bblog» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,LA LOGISTICA MILANESE S.R.L.,11073770965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,8224193,2020,2540463,da 50 a 99,"Viale Monza, 347","PG «la logistica milanese» in milano: 12 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,BARTOLINI CORRIERE ESPRESSO S.R.L.,13040701008,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,7904043,2024,5042512,da 500 a 999,"Piazzale Luigi Cadorna, 4","PG «bartolini corriere espresso» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,ADRIATICA SOCIETA' COOPERATIVA,10567890966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,6928129,,,,"Via Valsugana, 15","PG «adriatica» in milano: 3 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,XENEIZE SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,13278870962,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,5756433,,,,"Viale Umbria, 71","PG «xeneize» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,WLS SRL,08554210966,Facchinaggio,52.24,Movimentazione merci,5538615,2024,4202455,da 100 a 199,"Via Cappuccini, 6","PG «wls» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,QS SERVICE SOCIETA' COOPERATIVA,04225430166,Facchinaggio,52.24,Movimentazione merci,5002323,,,,"Via Pietro Mascagni, 33","PG «qs service» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,EKO LOGISTICA SRLS,11510640961,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,4659372,2024,686461,da 20 a 49,"Via Mauro Macchi, 73","PG «eko logistica» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,CONSORZIO EDILCOOP,10511970963,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,4590552,2023,77988,da 3 a 5,"Via Manfredo Camperio, 14","PG «consorzio edilcoop» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,D.R.T. SERVICE SOCIETA' COOPERATIVA,02675550186,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,4519517,,,,"Via Vincenzo Monti, 8","PG «drt service» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,TRA.NA.I. S.R.L.,03855290155,Facchinaggio,52.24,Movimentazione merci,4194712,2024,992759,da 20 a 49,"Via Tiziano, 0021","PG «tra na i» in milano: 12 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,WAVE S.R.L.,10476560965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,4102350,2023,1995921,da 100 a 199,"Via Delle Forze Armate, 249","PG «wave» in milano: 14 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,SO.CO.MA. SOCIETA' COOPERATIVA MANUTENZIONE PER AZIONI,07194390154,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,3814090,,,,"Via Giovanni Pascoli, 33","PG «so co ma manutenzione» in milano: 24 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,FA-MA S.R.L.,10567610968,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,3709608,2019,2918648,nessuno,"Via Agostino De Pretis, 19","PG «fa ma» in milano: 10 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,EDAIS S.R.L.,08461050968,Facchinaggio,52.24,Movimentazione merci,3670216,2016,155557,da 6 a 9,"Via Adami, 7","PG «edais» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,TEAM UP S.R.L.,09267490960,Facchinaggio,52.24,Movimentazione merci,3642349,2022,2456237,da 50 a 99,"Via Boccaccio, 20","PG «team up» in milano: 1 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,COSMO TRES SERVIZI SRL,10947460969,Facchinaggio,52.24,Movimentazione merci,3494400,2021,2406373,da 50 a 99,"Via Privata Del Gonfalone, 3","PG «cosmo tres servizi» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,ECOERRE SRL,12778890967,Facchinaggio,52.24,Movimentazione merci,3109260,2024,2247231,da 50 a 99,"Via Galileo Galilei, 5","PG «ecoerre» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MULTI WORK S.R.L.,11043530960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,3107702,2020,2946996,2,"Corso Magenta, 56","PG «multi work» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,GENERAL SOLUTION SERVICE SOCIETA' COOPERATIVA,03951890163,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,2873638,,,,"Piazza Iv Novembre, 4","PG «general solution service» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,JUST LOGISTIC S.R.L.,11069770961,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,2721019,2020,1833880,nessuno,"Via Almerico Da Schio, 8","PG «just logistic» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,NEW YORK S.R.L.,06467390966,Facchinaggio,52.24,Movimentazione merci,2567440,2024,2222530,da 50 a 99,"Via Settala, 8","PG «new york» in milano: 9 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,MULTISERVIZI 2022 S.R.L.,12493420967,Facchinaggio,52.24,Movimentazione merci,2439231,2024,1743116,da 20 a 49,"Corso Magenta, 56","PG «multiservizi 2022» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,SINERGY SOCIETA' COOPERATIVA,04943500282,Facchinaggio,52.24,Movimentazione merci,2426359,,,,"Via Achille Bizzoni, 2","PG «sinergy» in milano: 2 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,ANTARES LOGISTICA SRL,10928710960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,2366348,2024,2069167,da 50 a 99,"Via Gustavo Modena, 25","PG «antares logistica» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,LAVORIN S.R.L.,12105520964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,2289893,2022,660160,,"Via Vittor Pisani, 10","PG «lavorin» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,FLOAR SERVICE SOCIETA' COOPERATIVA,09720950964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,2096905,,,,"Via S. Mamete, 3","PG «floar service» in milano: 0 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,EUROPO SOCIETA' COOPERATIVA,08820660960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,2096085,,,,"Piazza Quattro Novembre, 4","PG «europo» in milano: 25 risultati, nessuno con nome e comune coincidenti"
Milano,20.3,CARENA SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,11391400964,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,2075784,2021,1077436,da 50 a 99,"Via Manfredo Camperio, 14","PG «carena» in milano: 3 risultati, nessuno con nome e comune coincidenti"
